"","Number","Weight (N)","Stature (mm)","Head circumference (mm)","Shoulder breadth (mm)","Hand length (mm)","Hand breadth (mm)","Chest circumference (mm)","Waist circumference (mm)","Foot length (mm)","Foot breadth (mm)","Age (months)"
"704",704,356,1387,529,324,148,65,683,664,210,87,108
"705",705,292,1395,533,317,156,66,634,562,214,86,108
"706",706,366,1424,544,335,153,69,728,699,225,86,108
"707",707,294,1305,533,315,142,60,639,578,210,75,109
"708",708,242,1330,505,308,136,63,602,526,200,75,109
"709",709,283,1336,535,300,143,67,622,554,205,76,109
"710",710,273,1344,521,314,145,64,640,546,206,77,109
"711",711,257,1352,521,302,140,61,612,532,201,76,109
"712",712,370,1357,540,371,168,69,710,669,231,82,109
"713",713,375,1365,540,361,146,68,772,690,221,83,109
"714",714,276,1378,523,295,157,65,622,580,220,76,109
"715",715,250,1258,519,302,130,61,613,527,194,76,110
"716",716,308,1296,528,330,145,66,691,595,206,80,110
"717",717,264,1324,502,321,138,64,659,578,202,78,110
"718",718,253,1349,520,318,144,63,637,551,207,75,110
"719",719,353,1358,512,356,148,74,744,672,216,79,110
"720",720,327,1396,522,346,149,68,749,624,237,84,110
"721",721,379,1415,519,343,159,75,702,681,221,86,110
"722",722,463,1422,539,350,143,63,732,765,212,72,110
"723",723,600,1503,553,404,181,78,851,897,246,92,110
"724",724,266,1234,513,328,139,66,593,552,193,75,111
"725",725,238,1264,518,290,138,57,595,525,196,74,111
"726",726,295,1275,535,314,148,62,664,612,198,77,111
"727",727,288,1282,501,330,136,61,655,561,200,76,111
"728",728,264,1287,518,303,133,67,610,558,195,80,111
"729",729,322,1323,509,326,147,70,701,609,205,79,111
"730",730,234,1330,502,280,141,61,589,519,192,70,111
"731",731,267,1337,497,284,148,62,613,518,205,75,111
"732",732,422,1406,538,368,159,70,790,746,219,77,111
"733",733,295,1432,536,312,158,68,660,534,226,82,111
"734",734,417,1446,506,362,158,74,733,672,238,92,111
"735",735,246,1215,493,303,140,63,623,579,190,81,112
"736",736,283,1298,512,329,147,61,683,582,202,79,112
"737",737,263,1317,539,308,141,69,613,553,205,83,112
"738",738,348,1363,518,345,149,69,740,691,221,81,112
