"","Number","Weight (N)","Stature (mm)","Head circumference (mm)","Shoulder breadth (mm)","Hand length (mm)","Hand breadth (mm)","Chest circumference (mm)","Waist circumference (mm)","Foot length (mm)","Foot breadth (mm)","Age (months)"
"1",1,124,842,473,232,100,50,478,469,131,62,24
"2",2,117,842,497,237,91,46,498,485,132,60,24
"3",3,113,846,467,240,97,45,467,457,123,53,24
"4",4,114,852,481,207,94,45,459,461,134,53,24
"5",5,121,875,479,231,90,49,493,472,135,59,24
"6",6,137,890,466,259,97,49,483,503,135,56,24
"7",7,127,898,495,235,98,46,484,455,156,58,24
"8",8,122,854,477,232,99,46,491,500,131,53,25
"9",9,138,872,475,241,97,50,522,481,140,60,25
"10",10,117,876,498,244,93,45,501,468,137,60,25
"11",11,121,876,490,230,94,46,507,475,137,56,25
"12",12,105,838,472,234,91,48,444,441,119,52,26
"13",13,138,858,490,261,102,54,484,476,142,63,26
"14",14,119,875,466,241,98,54,481,462,140,57,26
"15",15,153,881,482,253,107,56,552,531,154,69,28
"16",16,108,888,488,203,98,47,463,421,136,52,28
"17",17,156,910,504,237,109,54,534,517,138,58,28
"18",18,141,916,499,248,102,50,505,482,146,61,28
"19",19,109,865,478,213,99,45,473,442,136,60,29
"20",20,140,900,495,259,100,48,518,487,148,61,29
"21",21,124,905,480,239,101,46,490,476,141,56,29
"22",22,143,907,490,252,104,51,521,505,153,61,29
"23",23,147,925,486,249,111,53,527,523,150,60,29
"24",24,116,869,469,221,96,47,478,430,128,58,30
"25",25,137,874,503,239,104,55,518,475,161,60,30
"26",26,105,875,464,193,100,48,450,445,133,54,30
"27",27,133,888,487,242,100,49,498,483,137,59,30
"28",28,116,898,497,226,102,47,486,445,147,54,30
"29",29,122,867,465,241,106,51,497,444,138,53,31
"30",30,123,869,489,240,98,47,493,487,138,55,31
"31",31,139,893,495,237,106,54,497,492,138,61,31
"32",32,120,895,452,226,102,45,463,443,135,58,31
"33",33,115,914,472,230,102,48,460,388,139,56,31
"34",34,101,866,469,232,96,46,460,438,130,50,32
"35",35,115,867,459,236,107,51,475,433,151,60,32
"36",36,131,923,465,221,100,50,470,434,145,59,32
"37",37,125,944,478,249,106,45,489,462,147,51,32
"38",38,144,899,488,251,105,47,525,498,145,63,33
"39",39,146,928,498,251,103,52,511,471,149,64,33
"40",40,137,932,489,228,98,48,497,463,147,60,33
"41",41,141,944,475,246,105,47,488,488,150,61,33
"42",42,127,922,471,234,101,47,470,413,145,54,34
"43",43,135,926,485,213,105,52,477,454,144,60,34
"44",44,154,936,471,253,102,51,496,471,147,62,34
"45",45,130,937,492,246,102,46,502,493,140,55,34
"46",46,141,938,489,251,113,52,522,477,146,60,34
"47",47,155,958,467,258,102,56,533,493,151,67,34
"48",48,143,963,475,232,109,50,491,496,151,59,35
"49",49,131,972,481,229,107,47,485,447,148,62,35
"50",50,114,884,462,231,101,45,446,460,133,54,36
"51",51,157,922,483,260,102,49,508,494,133,61,36
"52",52,140,929,514,249,102,55,528,515,150,65,36
"53",53,148,949,477,234,103,55,521,482,147,59,36
"54",54,143,951,504,236,99,46,518,500,150,59,36
"55",55,137,954,517,230,113,50,497,462,156,64,36
"56",56,136,954,482,255,107,51,509,488,143,56,36
"57",57,166,958,497,262,107,55,533,514,145,61,36
"58",58,142,977,488,246,103,50,502,483,150,60,36
"59",59,175,994,502,254,109,53,530,521,157,68,36
"60",60,132,903,484,242,101,48,508,464,136,59,37
"61",61,152,929,502,227,95,47,508,532,139,60,37
"62",62,162,967,511,252,114,51,520,487,149,68,37
"63",63,125,969,473,241,115,51,457,434,148,56,37
"64",64,123,909,488,238,103,44,497,452,141,61,38
"65",65,141,947,507,234,111,56,482,483,161,66,38
"66",66,150,955,502,257,110,53,517,498,157,62,38
"67",67,145,959,495,236,103,50,493,458,148,64,38
"68",68,151,970,502,251,106,54,539,499,155,64,38
"69",69,140,980,496,245,111,51,492,488,156,58,38
"70",70,163,1004,481,258,112,53,550,491,171,66,38
"71",71,109,866,489,218,95,47,453,409,135,55,39
"72",72,106,899,466,235,95,47,434,444,140,60,39
"73",73,121,954,478,240,97,47,484,413,147,60,39
"74",74,142,958,500,250,107,51,510,480,140,58,39
"75",75,166,968,517,245,110,52,501,518,154,62,39
"76",76,152,971,497,251,107,53,505,499,160,63,39
"77",77,153,981,512,260,108,54,516,492,159,59,39
"78",78,159,987,489,268,116,55,526,488,158,66,39
"79",79,163,1011,514,259,110,52,533,515,150,62,39
"80",80,128,903,504,233,97,45,498,492,136,58,40
"81",81,132,937,485,246,101,50,505,495,143,59,40
"82",82,129,938,479,232,109,49,487,446,149,56,40
"83",83,131,945,485,239,103,50,498,451,144,61,40
"84",84,157,966,482,255,111,53,556,522,154,62,40
"85",85,159,975,506,265,105,58,540,494,150,64,40
"86",86,138,1018,485,228,115,51,498,446,152,56,40
"87",87,130,897,462,222,94,40,480,480,138,55,41
"88",88,142,918,503,255,107,50,513,508,138,57,41
"89",89,144,978,499,230,108,50,511,495,154,59,41
"90",90,156,985,499,258,102,51,556,547,151,64,41
"91",91,150,997,473,273,114,51,501,465,167,64,41
"92",92,167,1059,495,264,118,54,511,491,161,68,41
"93",93,136,947,464,226,104,52,497,472,147,65,42
"94",94,155,986,512,263,114,51,531,520,162,66,42
"95",95,177,1033,518,285,118,58,530,526,166,65,42
"96",96,181,1043,527,259,119,54,513,500,171,67,42
"97",97,133,927,489,241,94,46,528,470,140,60,43
"98",98,135,933,490,251,109,50,502,461,150,61,43
"99",99,129,943,488,238,105,48,475,430,150,64,43
"100",100,149,955,489,247,110,53,529,504,154,59,43
"101",101,146,968,473,254,102,52,489,446,149,62,43
"102",102,160,968,508,268,113,56,530,500,159,67,43
"103",103,132,987,499,238,112,52,478,461,160,64,43
"104",104,130,912,480,244,101,52,503,475,153,63,44
"105",105,137,974,500,217,104,49,495,489,151,57,44
"106",106,193,1043,503,275,118,58,550,556,165,67,44
"107",107,120,936,462,228,102,46,474,428,140,57,45
"108",108,137,963,485,245,105,54,498,465,145,57,45
"109",109,141,975,472,242,113,52,498,461,151,58,45
"110",110,160,1006,503,268,109,50,535,525,157,60,45
"111",111,165,1013,499,238,114,57,524,491,162,69,45
"112",112,149,1018,491,241,115,51,493,477,178,61,45
"113",113,155,1020,496,250,116,53,508,459,161,65,45
"114",114,161,1038,513,262,116,54,526,482,162,67,45
"115",115,175,1038,493,265,110,54,525,503,163,63,45
"116",116,146,955,501,260,109,47,542,530,156,57,46
"117",117,140,958,493,246,105,54,533,505,145,58,46
"118",118,146,968,498,252,111,52,527,514,153,61,46
"119",119,172,994,500,265,111,53,538,517,156,66,46
"120",120,165,997,489,253,116,51,532,491,163,61,46
"121",121,172,1018,498,272,123,55,548,518,165,68,46
"122",122,167,1044,486,280,115,56,532,478,163,66,46
"123",123,185,1047,489,280,120,55,539,498,167,71,46
"124",124,150,1050,508,258,127,57,528,490,175,64,46
"125",125,142,968,475,247,105,50,502,483,148,61,47
"126",126,151,975,481,262,112,50,532,506,142,61,47
"127",127,142,977,496,249,112,55,515,469,148,64,47
"128",128,151,988,496,239,114,54,496,491,151,61,47
"129",129,166,997,515,269,115,56,554,516,155,65,47
"130",130,159,1000,510,263,113,54,518,495,158,67,47
"131",131,160,1001,489,256,114,55,538,522,158,65,47
"132",132,152,1003,502,257,112,57,523,489,159,64,47
"133",133,144,1015,505,245,118,55,485,475,162,64,47
"134",134,151,1018,489,239,113,51,511,513,156,61,47
"135",135,163,1024,508,258,116,54,520,494,162,67,47
"136",136,174,1039,497,266,119,56,523,497,165,66,47
"137",137,158,1040,478,259,117,54,509,468,150,62,47
"138",138,170,1041,504,246,111,56,515,492,160,68,47
"139",139,187,1071,499,276,118,59,562,501,159,67,47
"140",140,190,1079,523,263,116,58,547,548,168,67,47
"141",141,206,1109,517,283,123,56,569,494,182,72,47
"142",142,144,958,490,252,111,52,495,477,152,65,48
"143",143,135,964,485,258,103,51,495,460,155,64,48
"144",144,155,978,497,249,107,53,508,468,153,60,48
"145",145,149,982,496,252,107,49,505,500,150,64,48
"146",146,140,1017,493,225,122,55,490,447,168,61,48
"147",147,154,1032,499,255,122,54,528,506,170,67,48
"148",148,162,1041,503,261,116,53,527,572,162,67,48
"149",149,146,1050,476,253,113,51,505,450,157,65,48
"150",150,195,1070,508,263,130,52,512,519,176,68,48
"151",151,179,1073,507,275,121,57,570,493,176,64,48
"152",152,194,1098,513,254,129,63,544,539,169,65,48
"153",153,155,957,480,258,103,50,532,473,153,64,49
"154",154,166,976,481,244,113,53,510,507,154,64,49
"155",155,159,995,500,249,115,51,511,460,159,66,49
"156",156,172,1036,482,261,109,53,530,500,165,63,49
"157",157,158,1037,516,267,112,49,501,495,160,60,49
"158",158,190,1048,510,277,108,58,588,555,161,68,49
"159",159,167,1066,489,252,125,58,511,500,170,63,49
"160",160,114,911,479,227,98,46,459,417,136,62,50
"161",161,145,1000,478,263,108,52,531,469,153,62,50
"162",162,178,1014,516,271,121,52,529,483,183,64,50
"163",163,159,1018,473,264,119,52,557,514,167,63,50
"164",164,172,1022,492,269,118,53,562,538,161,63,50
"165",165,155,1033,498,282,120,55,526,475,163,67,50
"166",166,182,1038,520,270,116,56,544,541,174,74,50
"167",167,162,1052,495,253,125,55,494,496,178,70,50
"168",168,168,1054,494,267,124,56,554,482,166,69,50
"169",169,185,1054,513,259,122,61,551,526,171,64,50
"170",170,178,1058,487,272,123,52,568,518,171,65,50
"171",171,188,1081,514,265,128,63,540,533,172,73,50
"172",172,172,1123,515,259,128,54,516,488,178,68,50
"173",173,137,957,493,256,106,45,505,496,142,60,51
"174",174,153,990,480,260,103,50,510,514,160,63,51
"175",175,182,1022,498,281,127,60,566,530,172,71,51
"176",176,165,1038,497,262,116,54,532,505,160,64,51
"177",177,192,1052,514,270,119,53,537,519,163,70,51
"178",178,174,1071,496,263,123,56,554,506,170,65,51
"179",179,197,1072,502,275,115,57,580,542,170,69,51
"180",180,180,1092,506,267,121,56,524,484,165,70,51
"181",181,130,957,497,216,114,51,490,468,158,62,52
"182",182,130,967,473,230,111,52,502,444,155,59,52
"183",183,161,985,495,276,111,54,507,494,155,67,52
"184",184,131,987,485,242,108,46,490,457,152,57,52
"185",185,150,1016,486,251,115,56,512,479,160,65,52
"186",186,162,1032,500,256,117,54,514,483,164,61,52
"187",187,174,1055,499,252,112,55,558,492,158,68,52
"188",188,188,1075,507,275,116,55,559,502,166,66,52
"189",189,150,989,508,257,104,48,537,516,152,62,53
"190",190,137,998,480,241,106,50,502,488,162,61,53
"191",191,162,1014,489,250,111,51,492,465,159,63,53
"192",192,160,1015,492,242,109,55,483,462,155,62,53
"193",193,185,1032,526,259,120,58,537,509,161,71,53
"194",194,207,1033,528,272,119,56,561,550,169,66,53
"195",195,188,1052,494,281,123,60,558,499,176,73,53
"196",196,160,1057,492,255,125,58,515,493,168,66,53
"197",197,163,1077,492,259,118,56,529,487,166,61,53
"198",198,230,1112,512,309,121,59,601,520,171,65,53
"199",199,154,1029,506,265,113,52,532,490,163,63,54
"200",200,165,1037,491,262,116,52,537,490,167,68,54
"201",201,188,1075,496,247,119,61,561,546,174,70,54
"202",202,188,1082,493,274,119,54,546,517,169,66,54
"203",203,140,996,488,227,116,51,495,495,159,57,55
"204",204,159,1012,492,241,108,56,519,505,154,59,55
"205",205,163,1028,504,261,108,55,521,481,153,61,55
"206",206,174,1042,489,257,117,57,542,522,163,64,55
"207",207,167,1058,488,258,124,59,551,483,176,69,55
"208",208,166,1071,511,273,117,51,532,519,168,62,55
"209",209,208,1075,508,274,122,56,603,567,176,70,55
"210",210,177,1086,506,264,128,53,515,494,181,64,55
"211",211,163,1088,475,269,129,52,503,482,168,65,55
"212",212,233,1166,517,291,132,63,587,526,197,77,55
"213",213,149,1012,480,257,118,57,500,459,162,61,56
"214",214,154,1017,496,255,111,52,531,487,161,64,56
"215",215,174,1018,525,277,113,57,570,508,150,66,56
"216",216,156,1040,514,258,117,51,522,484,167,60,56
"217",217,176,1055,508,273,111,50,545,518,162,66,56
"218",218,164,1059,494,237,124,55,527,483,172,70,56
"219",219,209,1071,512,291,127,53,597,547,173,66,56
"220",220,170,1090,505,258,120,53,515,481,166,59,56
"221",221,221,1115,529,281,127,60,575,531,178,70,56
"222",222,235,1131,541,281,133,62,591,581,182,72,56
"223",223,140,984,486,242,106,53,478,437,156,68,57
"224",224,167,1003,502,263,114,50,546,557,161,63,57
"225",225,153,1013,505,264,103,49,521,500,155,61,57
"226",226,162,1027,485,258,127,57,504,491,167,66,57
"227",227,178,1046,514,273,115,56,542,508,166,70,57
"228",228,161,1053,496,237,119,56,515,505,167,65,57
"229",229,166,1054,519,259,116,59,548,484,166,71,57
"230",230,176,1080,510,269,127,59,532,521,172,69,57
"231",231,206,1084,522,292,118,55,599,555,168,72,57
"232",232,173,1085,510,274,118,53,532,502,165,67,57
"233",233,184,1086,470,260,119,54,543,502,171,64,57
"234",234,178,1092,508,248,114,53,524,493,175,69,57
"235",235,214,1120,522,280,124,59,563,550,177,67,57
"236",236,207,1128,509,302,135,64,610,577,192,76,57
"237",237,157,982,506,253,110,50,523,517,156,61,58
"238",238,171,1017,471,271,110,55,557,482,151,64,58
"239",239,156,1025,488,258,105,52,512,468,157,62,58
"240",240,161,1032,501,253,113,50,522,457,154,63,58
"241",241,154,1045,482,248,106,49,501,462,158,65,58
"242",242,175,1050,471,254,127,58,541,527,168,73,58
"243",243,172,1059,501,253,118,58,528,508,164,60,58
"244",244,165,1094,499,263,121,55,560,521,177,67,58
"245",245,182,1108,517,270,117,54,561,505,172,63,58
"246",246,197,1126,505,272,136,58,537,518,184,74,58
"247",247,145,992,502,244,111,51,491,472,164,60,59
"248",248,171,1038,508,262,120,54,520,482,162,68,59
"249",249,148,1039,506,268,114,56,523,485,164,66,59
"250",250,162,1045,503,276,114,53,542,496,161,60,59
"251",251,170,1046,482,265,113,56,535,513,155,69,59
"252",252,196,1062,501,284,119,54,578,509,173,64,59
"253",253,188,1062,502,273,123,57,546,537,168,66,59
"254",254,147,1065,494,245,120,51,506,462,168,64,59
"255",255,170,1073,498,267,110,56,544,521,164,70,59
"256",256,191,1084,494,268,122,59,558,494,175,72,59
"257",257,175,1087,486,266,122,55,529,460,172,64,59
"258",258,182,1087,502,259,112,55,553,480,170,66,59
"259",259,210,1088,497,280,119,58,583,554,170,64,59
"260",260,188,1097,536,262,123,59,537,522,171,66,59
"261",261,173,1116,486,253,120,52,492,461,167,64,59
"262",262,161,1145,498,268,109,52,521,490,166,66,59
"263",263,154,992,488,262,117,53,539,470,155,68,60
"264",264,178,1069,479,272,126,59,541,529,169,69,60
"265",265,165,1074,510,263,127,55,522,510,171,61,60
"266",266,196,1083,518,277,119,56,572,553,174,64,60
"267",267,176,1087,498,274,113,52,514,522,173,67,60
"268",268,189,1104,508,272,125,57,558,511,166,67,60
"269",269,190,1114,518,280,126,55,580,546,184,69,60
"270",270,196,1116,507,285,123,58,533,502,178,63,60
"271",271,180,1176,543,276,129,56,558,502,181,65,60
"272",272,165,1025,492,268,109,51,549,484,158,69,61
"273",273,163,1034,499,253,108,51,516,468,158,68,61
"274",274,163,1050,515,258,116,48,534,518,165,66,61
"275",275,174,1069,496,262,120,55,530,499,167,67,61
"276",276,209,1097,506,279,115,57,560,531,169,69,61
"277",277,187,1100,529,277,126,54,561,532,176,67,61
"278",278,185,1122,504,269,119,61,543,493,173,70,61
"279",279,185,1129,492,269,127,55,542,457,182,71,61
"280",280,213,1144,502,289,130,56,558,521,178,67,61
"281",281,217,1149,512,293,122,56,575,531,175,69,61
"282",282,157,1013,495,267,118,51,560,496,159,64,62
"283",283,165,1048,476,250,119,54,514,463,171,64,62
"284",284,181,1052,485,274,115,54,563,512,163,65,62
"285",285,188,1100,524,284,123,56,563,535,172,65,62
"286",286,240,1119,519,303,120,56,595,581,170,71,62
"287",287,208,1122,512,262,123,55,574,569,176,64,62
"288",288,212,1138,516,297,130,57,585,535,183,71,62
"289",289,206,1144,512,284,129,54,584,542,180,72,62
"290",290,173,1031,466,269,120,55,523,535,160,69,63
"291",291,185,1053,492,271,128,57,556,509,178,69,63
"292",292,160,1057,490,254,116,53,499,476,166,65,63
"293",293,160,1070,490,257,119,53,543,457,156,61,63
"294",294,206,1080,522,288,120,55,590,541,175,69,63
"295",295,179,1082,520,268,124,56,567,522,164,65,63
"296",296,189,1106,512,253,125,55,542,529,171,65,63
"297",297,218,1141,514,297,124,62,584,555,187,70,63
"298",298,215,1155,497,280,129,61,609,535,180,71,63
"299",299,155,1008,497,262,114,53,528,488,162,67,64
"300",300,177,1075,493,249,122,57,522,508,167,69,64
"301",301,165,1080,487,260,119,55,509,494,164,66,64
"302",302,203,1082,500,281,118,58,588,588,175,69,64
"303",303,174,1090,508,277,124,56,562,512,172,66,64
"304",304,186,1096,516,266,133,60,556,511,180,72,64
"305",305,188,1114,476,274,120,61,550,480,179,69,64
"306",306,207,1121,519,284,113,59,583,529,175,66,64
"307",307,210,1145,510,283,127,61,555,509,178,66,64
"308",308,181,1149,513,255,125,57,514,501,176,69,64
"309",309,149,1009,517,250,104,48,527,484,153,62,65
"310",310,173,1079,503,257,120,56,527,489,170,65,65
"311",311,181,1089,482,278,119,54,551,515,164,62,65
"312",312,190,1103,491,287,118,53,576,520,163,71,65
"313",313,181,1108,489,277,122,54,548,468,168,61,65
"314",314,198,1138,510,271,122,52,540,521,169,66,65
"315",315,203,1163,501,276,125,59,576,542,182,75,65
"316",316,152,1018,494,245,108,52,518,491,148,67,66
"317",317,180,1087,517,272,120,59,532,503,162,73,66
"318",318,184,1108,508,274,131,54,565,532,172,68,66
"319",319,163,1110,486,331,114,57,516,452,157,64,66
"320",320,172,1131,490,261,127,56,537,480,173,67,66
"321",321,194,1164,529,296,125,59,553,507,175,69,66
"322",322,203,1166,500,283,126,57,553,532,180,69,66
"323",323,192,1079,493,267,115,54,570,512,161,66,67
"324",324,196,1114,493,276,125,56,582,509,169,71,67
"325",325,194,1145,500,277,125,56,540,487,173,65,67
"326",326,199,1148,517,258,126,56,589,512,178,67,67
"327",327,194,1165,514,280,125,57,606,508,180,72,67
"328",328,221,1202,532,288,138,70,566,546,187,71,67
"329",329,153,1033,496,248,116,56,516,482,157,63,68
"330",330,167,1058,482,254,126,56,554,508,171,60,68
"331",331,193,1102,486,261,131,57,535,509,181,70,68
"332",332,185,1107,498,263,117,54,529,528,168,68,68
"333",333,194,1114,538,278,126,54,573,517,174,72,68
"334",334,246,1115,527,299,128,65,617,560,179,79,68
"335",335,187,1120,498,284,119,54,570,528,177,68,68
"336",336,189,1127,505,271,121,58,553,524,170,67,68
"337",337,170,1133,492,270,122,55,555,501,170,74,68
"338",338,196,1159,519,279,133,59,592,519,180,67,68
"339",339,208,1161,484,267,121,60,542,509,175,68,68
"340",340,233,1176,508,280,134,59,601,589,182,69,68
"341",341,289,1287,521,294,142,66,640,594,204,79,68
"342",342,163,1079,495,248,118,51,554,454,167,65,69
"343",343,226,1110,491,292,124,61,610,580,177,73,69
"344",344,184,1114,493,268,130,57,560,484,171,62,69
"345",345,221,1129,525,292,130,62,586,567,181,75,69
"346",346,188,1138,502,272,128,60,566,514,176,71,69
"347",347,180,1141,489,279,123,58,568,514,170,67,69
"348",348,226,1154,525,276,124,61,582,570,177,72,69
"349",349,200,1155,500,283,121,60,579,491,168,71,69
"350",350,217,1168,504,284,130,59,589,543,185,71,69
"351",351,237,1202,509,294,140,62,590,547,182,68,69
"352",352,234,1213,511,285,122,60,593,534,181,69,69
"353",353,169,1077,511,256,118,55,528,470,163,63,70
"354",354,177,1094,483,253,115,54,511,488,172,58,70
"355",355,184,1108,489,270,117,54,552,498,173,73,70
"356",356,208,1110,517,277,121,56,572,550,176,66,70
"357",357,182,1134,494,273,123,53,562,510,163,62,70
"358",358,212,1146,497,275,128,63,580,531,171,71,70
"359",359,222,1161,508,307,125,59,574,569,180,72,70
"360",360,206,1180,511,282,128,59,581,516,190,67,70
"361",361,197,1133,485,278,125,63,573,512,168,73,71
"362",362,224,1151,527,293,132,60,572,517,173,72,71
"363",363,232,1154,499,291,129,61,595,587,179,70,71
"364",364,209,1159,521,276,119,57,543,553,182,69,71
"365",365,216,1168,499,290,119,62,552,525,186,77,71
"366",366,193,1173,508,278,140,61,565,505,182,69,71
"367",367,191,1174,519,263,125,56,534,451,185,67,71
"368",368,244,1231,527,293,135,62,617,591,195,72,71
"369",369,191,1109,498,270,122,55,556,515,173,66,72
"370",370,205,1112,489,277,121,55,556,520,180,71,72
"371",371,179,1129,498,272,120,57,536,471,180,71,72
"372",372,261,1133,498,318,133,59,641,622,184,70,72
"373",373,197,1177,509,270,125,57,549,514,189,76,72
"374",374,242,1239,507,299,140,58,610,539,194,71,72
"375",375,151,1047,507,257,110,55,534,460,154,67,73
"376",376,188,1130,485,275,121,55,552,536,167,65,73
"377",377,205,1135,503,275,127,59,562,537,178,71,73
"378",378,196,1136,488,282,126,58,552,495,183,68,73
"379",379,200,1143,485,269,121,57,543,497,179,75,73
"380",380,214,1165,527,292,127,59,578,518,188,71,73
"381",381,191,1172,515,291,131,57,574,505,178,70,73
"382",382,225,1188,489,288,139,64,615,534,190,73,73
"383",383,218,1189,512,264,134,65,574,509,186,77,73
"384",384,157,1044,495,245,113,53,489,455,163,60,74
"385",385,180,1101,504,264,121,54,544,509,179,67,74
"386",386,181,1110,493,278,120,55,526,492,179,70,74
"387",387,179,1127,506,257,125,52,525,506,167,65,74
"388",388,168,1130,480,260,123,58,503,489,175,65,74
"389",389,192,1144,498,289,125,53,573,508,184,66,74
"390",390,182,1173,491,258,126,55,558,489,174,59,74
"391",391,200,1179,483,293,134,58,562,508,188,68,74
"392",392,194,1180,505,270,130,60,540,500,183,65,74
"393",393,230,1193,512,300,134,60,577,548,178,69,74
"394",394,170,1076,493,278,117,54,574,486,172,72,75
"395",395,192,1092,490,272,128,55,554,506,179,67,75
"396",396,164,1105,508,257,124,55,510,459,177,66,75
"397",397,201,1113,503,280,123,61,563,537,169,70,75
"398",398,209,1114,515,272,117,53,589,550,170,66,75
"399",399,186,1140,515,276,123,55,551,500,169,67,75
"400",400,208,1142,496,281,125,62,598,504,186,73,75
"401",401,206,1150,508,268,121,56,573,515,177,72,75
"402",402,200,1152,504,284,124,63,563,526,178,75,75
"403",403,210,1154,507,282,116,61,567,551,175,70,75
"404",404,213,1186,520,284,130,60,611,542,180,68,75
"405",405,239,1215,529,293,128,59,650,586,190,74,75
"406",406,213,1217,528,281,133,61,601,510,185,76,75
"407",407,288,1230,527,320,130,61,671,634,200,73,75
"408",408,174,1114,488,260,120,56,526,467,162,68,76
"409",409,224,1165,527,280,133,63,620,520,185,73,76
"410",410,219,1184,495,286,125,59,581,527,186,68,76
"411",411,178,1186,496,265,121,56,523,471,181,68,76
"412",412,200,1195,510,264,140,61,559,510,198,70,76
"413",413,220,1208,530,282,133,59,591,547,185,69,76
"414",414,252,1221,505,310,126,60,611,556,189,67,76
"415",415,197,1115,512,291,123,61,588,533,173,70,77
"416",416,231,1137,499,284,123,59,583,534,174,76,77
"417",417,214,1147,521,286,131,65,576,539,188,76,77
"418",418,211,1147,530,263,116,53,608,553,180,67,77
"419",419,203,1156,491,276,132,59,559,503,183,74,77
"420",420,184,1168,514,274,129,62,560,480,180,67,77
"421",421,214,1170,526,268,129,59,558,534,179,71,77
"422",422,217,1192,515,289,134,61,591,533,185,76,77
"423",423,188,1063,477,264,120,53,529,489,166,63,78
"424",424,168,1122,487,248,127,55,547,453,171,69,78
"425",425,199,1138,525,274,135,58,524,489,187,67,78
"426",426,175,1138,511,265,127,56,561,511,178,66,78
"427",427,203,1159,526,271,137,62,571,524,195,80,78
"428",428,226,1168,511,288,129,61,605,532,183,72,78
"429",429,218,1170,482,291,127,56,587,555,177,61,78
"430",430,213,1178,522,277,132,60,568,536,180,71,78
"431",431,219,1187,503,281,125,61,579,497,175,71,78
"432",432,240,1212,518,294,129,63,632,554,183,76,78
"433",433,233,1220,522,297,133,61,600,536,195,76,78
"434",434,265,1236,532,302,141,66,614,594,199,79,78
"435",435,177,1091,488,263,118,52,544,527,168,68,79
"436",436,187,1104,502,274,120,56,586,498,171,68,79
"437",437,188,1105,502,256,127,58,570,524,175,68,79
"438",438,187,1137,475,269,124,59,562,482,179,70,79
"439",439,200,1171,489,293,132,59,539,519,178,72,79
"440",440,222,1198,504,284,132,63,570,519,177,71,79
"441",441,226,1199,503,288,134,56,591,575,180,67,79
"442",442,215,1206,507,291,122,52,582,508,191,69,79
"443",443,281,1292,524,298,150,62,608,558,202,83,79
"444",444,206,1149,507,295,119,61,572,520,174,70,80
"445",445,194,1150,503,282,132,59,576,515,181,74,80
"446",446,198,1168,496,277,131,61,533,477,191,74,80
"447",447,225,1169,509,288,119,57,617,560,166,74,80
"448",448,240,1187,507,294,135,59,591,599,191,75,80
"449",449,228,1208,502,298,121,61,632,549,181,70,80
"450",450,312,1214,522,326,150,59,667,634,202,72,80
"451",451,168,1107,504,270,119,56,540,464,170,67,81
"452",452,174,1114,480,267,127,58,513,478,181,65,81
"453",453,210,1147,511,294,133,60,560,533,196,73,81
"454",454,213,1176,512,288,125,54,585,555,182,69,81
"455",455,209,1182,530,278,125,63,574,533,187,69,81
"456",456,246,1182,505,327,125,57,598,587,181,69,81
"457",457,210,1216,490,287,134,62,569,483,191,74,81
"458",458,212,1225,486,274,137,61,568,504,195,72,81
"459",459,250,1234,531,307,135,61,630,554,198,82,81
"460",460,310,1235,511,334,131,58,701,681,201,72,81
"461",461,266,1267,507,335,140,59,635,582,204,71,81
"462",462,259,1268,494,316,138,67,632,574,206,77,81
"463",463,248,1279,497,302,150,61,575,540,204,74,81
