ID,Name,Sex,Age,Height,Weight,Team,Year,Season,Sport,Medal
1173,Yannick Agnel,M,20,202,90,France,2012,Summer,Swimming,Gold
1173,Yannick Agnel,M,20,202,90,France,2012,Summer,Swimming,Silver
1181,Meghan Christina Agosta (-Marciano),F,18,168,67,Canada,2006,Winter,Ice Hockey,Gold
1181,Meghan Christina Agosta (-Marciano),F,23,168,67,Canada,2010,Winter,Ice Hockey,Gold
1181,Meghan Christina Agosta (-Marciano),F,26,168,67,Canada,2014,Winter,Ice Hockey,Gold
1188,"Benjamin Alexandro ""Ben"" Agosto",M,24,178,75,United States-1,2006,Winter,Figure Skating,Silver
1191,Judit goston-Mendelnyi,F,27,164,62,Hungary,1964,Summer,Fencing,Gold
1220,Sergio Leonel Agero del Castillo,M,20,172,74,Argentina,2008,Summer,Football,Gold
1221,"Taismary ""Tai"" Agero Leiva (-Botteghi)",F,23,175,70,Cuba,2000,Summer,Volleyball,Gold
1249,Jos Aguilar Pulsn,M,20,173,64,Cuba,1980,Summer,Boxing,Bronze
1254,Macarena Aguilar Daz,F,27,170,67,Spain,2012,Summer,Handball,Bronze
1262,Sandra Aguilar Navarro,F,23,167,50,Spain,2016,Summer,Rhythmic Gymnastics,Silver
1270,Jorge Luis Aguilera Ruiz,M,26,172,64,Cuba,1992,Summer,Athletics,Bronze
1301,Sri Wahyuni Agustiani,F,21,147,47,Indonesia,2016,Summer,Weightlifting,Silver
1313,Robyn Mokihana Ah Mow-Santos,F,32,172,67,United States,2008,Summer,Volleyball,Silver
1322,Kevin Joseph Ahearn,M,23,175,73,United States,1972,Winter,Ice Hockey,Silver
1323,"Timothy Joseph ""Tim"" Ahearne",M,22,170,57,Great Britain,1908,Summer,Athletics,Gold
1333,Bruno Valfrid Ahlberg,M,21,168,69.5,Finland,1932,Summer,Boxing,Bronze
1336,Mats Bertil hlberg,M,32,179,78,Sweden,1980,Winter,Ice Hockey,Bronze
1340,Annica Gunilla hln,F,27,177,75,Sweden,2002,Winter,Ice Hockey,Bronze
1342,Thomas Valter hln,M,24,182,90,Sweden,1984,Winter,Ice Hockey,Bronze
1356,Christian Ahlmann,M,29,189,80,Germany,2004,Summer,Equestrianism,Bronze
1356,Christian Ahlmann,M,41,189,80,Germany,2016,Summer,Equestrianism,Bronze
1374,Tontowi Ahmad,M,29,179,72,Indonesia-1,2016,Summer,Badminton,Gold
1378,Arne Per hman,M,23,176,64,Sweden,1948,Summer,Athletics,Gold
1379,Jrg Ahmann,M,34,190,88,Germany-1,2000,Summer,Beach Volleyball,Bronze
1380,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22,172,52,United States,1992,Summer,Swimming,Gold
1380,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22,172,52,United States,1992,Summer,Swimming,Silver
1380,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22,172,52,United States,1992,Summer,Swimming,Gold
1389,Muhammad Ashfaq Ahmed,M,21,162,62,Pakistan,1968,Summer,Hockey,Gold
1391,Bashir Ahmed,M,25,171,67,Pakistan,1960,Summer,Hockey,Gold
1400,Ishtiaq Ahmed,M,21,170,62,Pakistan,1984,Summer,Hockey,Gold
1402,Manzoor Ahmed,M,24,169,75,Pakistan,1992,Summer,Hockey,Bronze
1408,Mushtaq Ahmed,M,28,170,70,Pakistan,1984,Summer,Hockey,Gold
1409,Mushtaq Ahmed,M,27,173,61,Pakistan,1960,Summer,Hockey,Gold
1412,Riaz Ahmed,M,27,150,70,Pakistan,1968,Summer,Hockey,Gold
1412,Riaz Ahmed,M,30,150,70,Pakistan,1972,Summer,Hockey,Silver
1414,Shahbaz Ahmed,M,23,175,61,Pakistan,1992,Summer,Hockey,Bronze
1435,Janne Petteri Ahonen,M,24,184,66,Finland,2002,Winter,Ski Jumping,Silver
1435,Janne Petteri Ahonen,M,28,184,66,Finland,2006,Winter,Ski Jumping,Silver
1442,Peter Ahrendt,M,30,169,66,Mutafo,1964,Summer,Sailing,Silver
1443,Brigitte Ahrenholz,F,23,178,85,East Germany,1976,Summer,Rowing,Gold
1444,"Christian ""Chris"" Ahrens",M,28,195,97,United States,2004,Summer,Rowing,Gold
1447,Marlene Ahrens Ostertag (-Ebensperger),F,23,176,70,Chile,1956,Summer,Athletics,Silver
