title,series,author,rating,language,genres,pages,publisher,publish year,numRatings,likedPercent,price
Strange Angels,Strange Angels #1,"Lili St. Crow, Lilith Saintcrow (Goodreads Author)",3.79,English,"['Young Adult', 'Paranormal', 'Fantasy', 'Vampires', 'Urban Fantasy', 'Werewolves', 'Supernatural', 'Romance', 'Zombies', 'Angels']",293,Razorbill,2009,39271,86,3.44
The Crimson Petal and the White,,Michel Faber,3.88,English,"['Historical Fiction', 'Fiction', 'Historical', 'Victorian', 'Romance', 'British Literature', 'Adult', 'Literary Fiction', '19th Century', 'Novels']",835,Canongate Books,2003,36940,89,2.76
Dreams of Gods and Monsters,Daughter of Smoke & Bone #3,Laini Taylor (Goodreads Author),4.15,English,"['Fantasy', 'Young Adult', 'Romance', 'Angels', 'Paranormal', 'Urban Fantasy', 'Fiction', 'Magic', 'Young Adult Fantasy', 'Audiobook']",613,"Little, Brown & Company",2014,88124,94,6.78
Wolves of the Calla,The Dark Tower #5,"Stephen King (Goodreads Author), Bernie Wrightson (Illustrator)",4.17,English,"['Fantasy', 'Fiction', 'Horror', 'Science Fiction', 'Westerns', 'Adventure', 'Science Fiction Fantasy', 'Audiobook', 'Post Apocalyptic', 'Epic']",931,Pocket Books,2006,157345,95,4.69
Hairspray and Lighter,,J. Jupes (Goodreads Author),4.52,English,"['Contemporary', 'Novels', 'Book Club', 'Fiction', 'Drama', 'Epic']",225,Hekate Publishing,2018,542,100,
Trickster's Queen,Daughter of the Lioness #2,Tamora Pierce (Goodreads Author),4.25,English,"['Fantasy', 'Young Adult', 'Fiction', 'Young Adult Fantasy', 'Magic', 'Romance', 'Adventure', 'High Fantasy', 'Teen', 'Science Fiction Fantasy']",496,Ember,2017,56845,95,
The Player of Games,Culture #2,Iain M. Banks,4.27,English,"['Science Fiction', 'Fiction', 'Space Opera', 'Science Fiction Fantasy', 'Fantasy', 'Cultural', 'Space', 'Audiobook', 'Novels', 'Speculative Fiction']",293,HarperPrism,1997,58998,97,32.11
Written in My Own Heart's Blood,Outlander #8,Diana Gabaldon (Goodreads Author),4.53,English,"['Historical Fiction', 'Romance', 'Fiction', 'Fantasy', 'Time Travel', 'Historical', 'Historical Romance', 'Audiobook', 'Adult', 'Science Fiction']",825,Delacorte Press,2014,94638,98,6.51
Be More Pirate: Or How to Take On the World and Win,,Sam Conniff (Goodreads Author),3.7,English,"['Nonfiction', 'Business', 'Self Help', 'Philosophy', 'Leadership', 'Finance', 'Personal Development', 'Psychology']",290,Portfolio Penguin,2018,723,87,
The Fires of Heaven,The Wheel of Time #5,Robert Jordan,4.15,English,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Epic', 'Audiobook', 'Adventure', 'Magic', 'Adult']",912,Orbit,1994,139059,96,5.33
Lucifer's Hammer,,"Larry Niven, Jerry Pournelle",3.99,English,"['Science Fiction', 'Fiction', 'Post Apocalyptic', 'Apocalyptic', 'Science Fiction Fantasy', 'Dystopia', 'Survival', 'Audiobook', 'Speculative Fiction', 'Classics']",629,Fawcett Crest,1977,39791,94,8.85
Legend,The Drenai Saga #1,David Gemmell,4.27,English,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Heroic Fantasy', 'High Fantasy', 'Adventure', 'Sword and Sorcery', 'War', 'Science Fiction Fantasy', 'Epic']",345,Ballantine Books,1905,26859,96,
